;Postal Code;City;Administrative Region;Population;Area km²;Population density per km²;Median Age;Neighborhoods;Latitude;Longitude
91;12309;Berlin;Berlin;11152;2.932;3803.55;43.2;Bezirk Tempelhof-Schöneberg, Lichtenrade;52.39332992695346;13.420714521927458
92;12347;Berlin;Berlin;22219;3.751;5923.49;43.0;Bezirk Neukölln, Britz;52.45459673341041;13.433561805031648
93;12349;Berlin;Berlin;32829;6.7;4899.85;43.0;Bezirk Neukölln, Buckow;52.42787325135358;13.424619748748848
94;12351;Berlin;Berlin;21716;3.552;6113.74;43.0;Bezirk Neukölln, Gropiusstadt;52.43606724865592;13.457611803161262
95;12353;Berlin;Berlin;19509;3.071;6352.65;43.1;Bezirk Neukölln, Gropiusstadt;52.42545149799538;13.462288038542138
96;12355;Berlin;Berlin;37697;7.2;5235.69;43.0;Bezirk Neukölln, Rudow;52.41250549890613;13.500345775931889
97;12357;Berlin;Berlin;30033;4.61;6514.75;43.0;Bezirk Neukölln;52.43067843681502;13.49657214549861
98;12359;Berlin;Berlin;23232;4.185;5551.25;43.0;Bezirk Neukölln, Britz;52.44987903772679;13.456086324066751
99;12435;Berlin;Berlin;14941;3.818;3913.31;43.0;Alt-Treptow, Bezirk Treptow-Köpenick;52.48926960107546;13.469580777912752
100;12437;Berlin;Berlin;25815;6.6;3911.36;43.0;Baumschulenweg, Bezirk Treptow-Köpenick;52.46443551590782;13.485202123467118
101;12439;Berlin;Berlin;18183;3.36;5411.61;43.0;Bezirk Treptow-Köpenick, Niederschöneweide;52.4553692654092;13.528700066381198
102;12459;Berlin;Berlin;30547;8.7;3511.15;43.0;Bezirk Treptow-Köpenick, Oberschöneweide;52.467442856203085;13.533882360851816
103;12487;Berlin;Berlin;44895;7.6;5907.24;43.0;Bezirk Treptow-Köpenick, Johannisthal;52.44376097773807;13.51230302998356
104;12489;Berlin;Berlin;28031;4.942;5672.0;43.0;Adlershof, Bezirk Treptow-Köpenick;52.43874545343491;13.55050868691782
105;12524;Berlin;Berlin;37865;7.8;4854.49;43.0;Altglienicke, Bezirk Treptow-Köpenick;52.41536438787097;13.543995693613194
106;12526;Berlin;Berlin;28560;6.9;4139.13;43.0;Bezirk Treptow-Köpenick;52.40035108324928;13.568334206554162
107;12527;Berlin;Berlin;18878;28.8;655.49;43.1;Bezirk Treptow-Köpenick, Grünau;52.39049858367587;13.647286456223611
108;12529;Berlin;Berlin;8006;9.8;816.94;44.9;Großziethen, Schönefeld, Selchow, Waltersdorf, Waßmannsdorf;52.38892949012175;13.514990089794097
109;12555;Berlin;Berlin;32735;8.2;3992.07;43.0;Bezirk Treptow-Köpenick, Köpenick;52.466510923644464;13.583992909886868
110;12557;Berlin;Berlin;31194;9.3;3354.19;43.0;Bezirk Treptow-Köpenick, Köpenick;52.43340766904319;13.589802990516686
111;12559;Berlin;Berlin;21970;35.5;618.87;43.0;Bezirk Treptow-Köpenick, Köpenick;52.418498472921726;13.661062735030455
112;12587;Berlin;Berlin;20913;16.6;1259.82;43.1;Bezirk Treptow-Köpenick, Friedrichshagen;52.46121926046028;13.639286207995449
113;12589;Berlin;Berlin;18860;20.1;938.31;43.3;Bezirk Treptow-Köpenick;52.44677718697991;13.708673643861829
114;12619;Berlin;Berlin;15458;2.436;6345.65;43.0;Bezirk Marzahn-Hellersdorf, Hellersdorf;52.526388057738224;13.592101068977572
115;12621;Berlin;Berlin;41104;8.7;4724.6;43.0;Bezirk Marzahn-Hellersdorf, Kaulsdorf;52.50515226385646;13.591395091384063
116;12623;Berlin;Berlin;57275;13.1;4372.14;43.2;Bezirk Marzahn-Hellersdorf, Mahlsdorf;52.50510141866791;13.620414171119156
117;12627;Berlin;Berlin;14656;3.794;3862.94;43.4;Bezirk Marzahn-Hellersdorf, Hellersdorf;52.53936149227536;13.61763764111809
118;12629;Berlin;Berlin;8494;1.557;5455.36;43.2;Bezirk Marzahn-Hellersdorf, Hellersdorf;52.54412034687148;13.594127920163602
119;12679;Berlin;Berlin;10893;2.225;4895.73;43.1;Bezirk Marzahn-Hellersdorf, Marzahner Promenade;52.5508667666053;13.568049993487962
120;12681;Berlin;Berlin;50090;8.6;5824.42;43.0;Bezirk Marzahn-Hellersdorf, Marzahn;52.53925722036935;13.5398499484887
121;12683;Berlin;Berlin;56372;12.5;4509.76;43.0;Bezirk Marzahn-Hellersdorf;52.51029526014671;13.563426179985797
122;12685;Berlin;Berlin;22389;3.722;6015.31;43.0;Bezirk Marzahn-Hellersdorf, Marzahn, Springpfuhl;52.54154876721016;13.56774576806328
123;12687;Berlin;Berlin;9988;1.879;5315.59;43.0;Bezirk Marzahn-Hellersdorf, Marzahner Promenade;52.55779817919343;13.566057622280823
124;12689;Berlin;Berlin;12262;2.784;4404.45;43.1;Bezirk Marzahn-Hellersdorf, Marzahn;52.568017848513776;13.572438423077616
125;13051;Berlin;Berlin;13800;5.8;2379.31;43.1;Bezirk Lichtenberg, Lichtenberg;52.57964289583081;13.497783122237069
126;13053;Berlin;Berlin;41928;7.0;5989.71;43.0;Bezirk Lichtenberg, Lichtenberg;52.55167005810901;13.508036918288932
127;13055;Berlin;Berlin;22690;2.972;7634.59;43.0;Bezirk Lichtenberg, Lichtenberg;52.54170576391881;13.50100137620798
128;13057;Berlin;Berlin;12078;4.946;2441.97;43.1;Bezirk Lichtenberg, Lichtenberg;52.57424124521223;13.54459638135736
129;13059;Berlin;Berlin;14305;5.7;2509.65;43.1;Bezirk Lichtenberg, Lichtenberg;52.58295758146875;13.525047669283197
130;13086;Berlin;Berlin;20410;3.288;6207.42;43.0;Bezirk Pankow, Weißensee;52.55702226492549;13.450440951467996
131;13088;Berlin;Berlin;34737;7.7;4511.3;43.0;Bezirk Pankow, Weißensee;52.56211994316895;13.473279409277582
132;13089;Berlin;Berlin;23671;3.967;5966.98;43.0;Bezirk Pankow, Heinersdorf;52.5729887447053;13.4433019480544
133;13125;Berlin;Berlin;44510;26.1;1705.36;43.2;Bezirk Pankow, Buch, Karow;52.63249371816862;13.484845072234526
134;13127;Berlin;Berlin;39352;12.2;3225.57;43.0;Bezirk Pankow, Buchholz;52.61681165264186;13.437402927676288
135;13129;Berlin;Berlin;22772;7.4;3077.3;43.0;Bezirk Pankow, Blankenburg;52.59361425159492;13.461444202184278
136;13156;Berlin;Berlin;37154;6.5;5716.0;43.0;Bezirk Pankow, Niederschönhausen;52.5847564086279;13.403043816146008
137;13158;Berlin;Berlin;29249;6.5;4499.85;43.0;Bezirk Pankow;52.595026275302914;13.38475605617512
138;13159;Berlin;Berlin;15222;13.9;1095.11;43.1;Bezirk Pankow, Blankenfelde;52.62735256720282;13.404149244638846
139;13187;Berlin;Berlin;20092;3.027;6637.59;43.0;Bezirk Pankow, Pankow;52.571346401962295;13.411385061125005
140;13189;Berlin;Berlin;15844;2.426;6530.92;43.0;Bezirk Pankow, Vinetastraße;52.565449183666495;13.423989608065767
141;13347;Berlin;Berlin;10649;1.603;6643.17;43.0;Leopoldplatz, Mitte;52.55025811436335;13.368246322010028
142;13349;Berlin;Berlin;7677;1.619;4741.82;43.0;Mitte, Schillerpark;52.55997761970148;13.351041671115173
143;13351;Berlin;Berlin;12339;3.075;4012.68;43.0;Mitte, Schillerpark;52.5523561805678;13.3358220609056
144;13353;Berlin;Berlin;19183;2.679;7160.51;43.0;Mitte, Sprengelkiez, Wedding;52.54290386462171;13.352157669588314
145;13355;Berlin;Berlin;13119;1.979;6629.11;43.0;Gesundbrunnen, Humboldthain, Mitte;52.54436149025356;13.392932425552578
146;13357;Berlin;Berlin;14477;1.941;7458.53;43.0;Gesundbrunnen, Mitte;52.552576879801705;13.383817380116756
147;13359;Berlin;Berlin;11484;1.759;6528.71;43.0;Gesundbrunnen, Mitte;52.562351550221386;13.387631000069945
148;13403;Berlin;Berlin;21620;3.733;5791.59;43.0;Bezirk Reinickendorf;52.57580004201149;13.32462144943604
149;13405;Berlin;Berlin;27938;7.2;3880.28;43.0;Bezirk Reinickendorf, Flughafen Tegel, Mitte, Reinickendorf, Scharnweberstraße;52.56066370138717;13.300329777303617
150;13407;Berlin;Berlin;28400;4.434;6405.05;43.0;Bezirk Reinickendorf, Mitte, Residenzstraße;52.574901371572544;13.353971805824775
151;13409;Berlin;Berlin;13777;2.358;5842.66;43.0;Bezirk Reinickendorf, Mitte, Residenzstraße;52.57043256449336;13.374050244144586
